alpha,beta,CAS
0.8,0.8,6.600000000000001e-07
0.8,0.8500000000000001,6.950000000000001e-07
0.8,0.9,7.300000000000001e-07
0.8,0.95,7.649999999999999e-07
0.8,1.0,8e-07
0.8,1.05,8.35e-07
0.8,1.1,8.7e-07
0.8,1.15,9.049999999999999e-07
0.8,1.2,9.399999999999999e-07
0.8500000000000001,0.8,6.950000000000001e-07
0.8500000000000001,0.8500000000000001,7.337500000000001e-07
0.8500000000000001,0.9,7.725000000000001e-07
0.8500000000000001,0.95,8.1125e-07
0.8500000000000001,1.0,8.5e-07
0.8500000000000001,1.05,8.887500000000002e-07
0.8500000000000001,1.1,9.275000000000001e-07
0.8500000000000001,1.15,9.6625e-07
0.8500000000000001,1.2,1.005e-06
0.9,0.8,7.300000000000001e-07
0.9,0.8500000000000001,7.725000000000001e-07
0.9,0.9,8.149999999999999e-07
0.9,0.95,8.574999999999999e-07
0.9,1.0,9e-07
0.9,1.05,9.425000000000001e-07
0.9,1.1,9.85e-07
0.9,1.15,1.0275e-06
0.9,1.2,1.0700000000000001e-06
0.95,0.8,7.649999999999999e-07
0.95,0.8500000000000001,8.1125e-07
0.95,0.9,8.574999999999999e-07
0.95,0.95,9.037499999999999e-07
0.95,1.0,9.499999999999999e-07
0.95,1.05,9.9625e-07
0.95,1.1,1.0425e-06
0.95,1.15,1.0887499999999997e-06
0.95,1.2,1.135e-06
1.0,0.8,8e-07
1.0,0.8500000000000001,8.5e-07
1.0,0.9,9e-07
1.0,0.95,9.499999999999999e-07
1.0,1.0,1e-06
1.0,1.05,1.05e-06
1.0,1.1,1.1e-06
1.0,1.15,1.1499999999999998e-06
1.0,1.2,1.2e-06
1.05,0.8,8.35e-07
1.05,0.8500000000000001,8.887500000000002e-07
1.05,0.9,9.425000000000001e-07
1.05,0.95,9.9625e-07
1.05,1.0,1.05e-06
1.05,1.05,1.10375e-06
1.05,1.1,1.1575000000000001e-06
1.05,1.15,1.2112499999999998e-06
1.05,1.2,1.265e-06
1.1,0.8,8.7e-07
1.1,0.8500000000000001,9.275000000000001e-07
1.1,0.9,9.85e-07
1.1,0.95,1.0425e-06
1.1,1.0,1.1e-06
1.1,1.05,1.1575000000000001e-06
1.1,1.1,1.215e-06
1.1,1.15,1.2724999999999997e-06
1.1,1.2,1.33e-06
1.15,0.8,9.049999999999999e-07
1.15,0.8500000000000001,9.6625e-07
1.15,0.9,1.0275e-06
1.15,0.95,1.0887499999999997e-06
1.15,1.0,1.1499999999999998e-06
1.15,1.05,1.2112499999999998e-06
1.15,1.1,1.2724999999999997e-06
1.15,1.15,1.3337499999999997e-06
1.15,1.2,1.395e-06
1.2,0.8,9.399999999999999e-07
1.2,0.8500000000000001,1.005e-06
1.2,0.9,1.0700000000000001e-06
1.2,0.95,1.135e-06
1.2,1.0,1.2e-06
1.2,1.05,1.265e-06
1.2,1.1,1.33e-06
1.2,1.15,1.395e-06
1.2,1.2,1.46e-06
