theta_survival,theta_checkpoint,CAS,log10_CAS,synergy_S,note,n_transient,solver,runtime_sec
0.0,0.0,1.0,0.0,0.0,ok,3,spsolve,0.00023889541625976562
0.0,0.1,0.9999999999999999,-4.821637332766436e-17,0.0,ok,3,spsolve,0.0002148151397705078
0.0,0.2,1.0,0.0,0.0,ok,3,spsolve,0.00022912025451660156
0.0,0.3,0.9999999999999999,-4.821637332766436e-17,0.0,ok,3,spsolve,0.0002067089080810547
0.0,0.4,1.0,0.0,0.0,ok,3,spsolve,0.00020384788513183594
0.0,0.5,1.0000000000000002,9.64327466553287e-17,0.0,ok,3,spsolve,0.0002009868621826172
0.1,0.0,0.9999999999999999,-4.821637332766436e-17,0.0,ok,3,spsolve,0.00020003318786621094
0.1,0.1,1.0,0.0,2.220446049250313e-16,ok,3,spsolve,0.00019884109497070312
0.1,0.2,0.9999999999999999,-4.821637332766436e-17,0.0,ok,3,spsolve,0.00019812583923339844
0.1,0.3,1.0,0.0,2.220446049250313e-16,ok,3,spsolve,0.00019884109497070312
0.1,0.4,1.0,0.0,1.1102230246251565e-16,ok,3,spsolve,0.00019884109497070312
0.1,0.5,1.0,0.0,-1.1102230246251563e-16,ok,3,spsolve,0.00019502639770507812
0.2,0.0,1.0,0.0,0.0,ok,3,spsolve,0.00019097328186035156
0.2,0.1,0.9999999999999999,-4.821637332766436e-17,0.0,ok,3,spsolve,0.00019311904907226562
0.2,0.2,1.0000000000000002,9.64327466553287e-17,2.2204460492503128e-16,ok,3,spsolve,0.00019121170043945312
0.2,0.3,1.0,0.0,1.1102230246251565e-16,ok,3,spsolve,0.0001881122589111328
0.2,0.4,1.0,0.0,0.0,ok,3,spsolve,0.0002028942108154297
0.2,0.5,1.0,0.0,-2.2204460492503128e-16,ok,3,spsolve,0.0002079010009765625
0.3,0.0,0.9999999999999999,-4.821637332766436e-17,0.0,ok,3,spsolve,0.000209808349609375
0.3,0.1,1.0,0.0,2.220446049250313e-16,ok,3,spsolve,0.0002090930938720703
0.3,0.2,1.0,0.0,1.1102230246251565e-16,ok,3,spsolve,0.0002162456512451172
0.3,0.3,1.0,0.0,2.220446049250313e-16,ok,3,spsolve,0.00021195411682128906
0.3,0.4,1.0000000000000002,9.64327466553287e-17,3.3306690738754696e-16,ok,3,spsolve,0.0002028942108154297
0.3,0.5,1.0,0.0,-1.1102230246251563e-16,ok,3,spsolve,0.0002009868621826172
0.4,0.0,1.0,0.0,0.0,ok,3,spsolve,0.00019693374633789062
0.4,0.1,1.0,0.0,1.1102230246251565e-16,ok,3,spsolve,0.00019598007202148438
0.4,0.2,1.0,0.0,0.0,ok,3,spsolve,0.0002129077911376953
0.4,0.3,1.0000000000000002,9.64327466553287e-17,3.3306690738754696e-16,ok,3,spsolve,0.00020694732666015625
0.4,0.4,1.0,0.0,0.0,ok,3,spsolve,0.00020194053649902344
0.4,0.5,1.0,0.0,-2.2204460492503128e-16,ok,3,spsolve,0.00019812583923339844
0.5,0.0,1.0000000000000002,9.64327466553287e-17,0.0,ok,3,spsolve,0.00019598007202148438
0.5,0.1,1.0,0.0,-1.1102230246251563e-16,ok,3,spsolve,0.00019621849060058594
0.5,0.2,1.0,0.0,-2.2204460492503128e-16,ok,3,spsolve,0.00020503997802734375
0.5,0.3,1.0,0.0,-1.1102230246251563e-16,ok,3,spsolve,0.00021076202392578125
0.5,0.4,1.0,0.0,-2.2204460492503128e-16,ok,3,spsolve,0.00019884109497070312
0.5,0.5,1.0,0.0,-4.4408920985006257e-16,ok,3,spsolve,0.00019288063049316406
